Altium Designer Pick and Place Locations
C:\Users\HW\Documents\CorrosenseBoard_V4.2\CorrosenseBoard_V4.2\OUTPUTS\Pick and Place\CorrosenseBoard_V4.2.csv

========================================================================================================================
File Design Information:

Date:       17/03/25
Time:       13:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Description","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"U300","256-Taps, 100k, Single-Channel Potentiometer With SPI Interface 8-SOT-23 -40 to 125","TopLayer","33.4720mm","32.7410mm","90"
"U301","No Description Available","TopLayer","25.0190mm","31.7077mm","270"
"U302","No Description Available","TopLayer","33.6550mm","39.1060mm","0"
"U303","256-Taps, 100k, Single-Channel Potentiometer With SPI Interface 8-SOT-23 -40 to 125","TopLayer","33.5280mm","25.6440mm","90"
"U304","No Description Available","TopLayer","26.7970mm","24.0550mm","90"
"U600","No Description Available","TopLayer","82.1690mm","37.0498mm","270"
"U700","No Description Available","TopLayer","26.2891mm","68.0720mm","270"
"U701","No Description Available","TopLayer","26.0783mm","52.3690mm","270"
"U702","","TopLayer","33.1903mm","68.1618mm","270"
"Y200","32.768 kHz ±10ppm Crystal 7pF 70 kOhms 2-SMD, No Lead","BottomLayer","70.5436mm","43.6407mm","0"
"Y201","No Description Available","BottomLayer","71.1368mm","38.6728mm","0"
"Y300","Crystal or Oscillator","TopLayer","27.0660mm","39.7020mm","270"
