!Keysight Technologies,E4990A,MY54302532,A.03.02
!Date: Wed May 07 10:40:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+5.29425650000e+004, +1.20643422705e+003, -8.87556207257e+001
+5.30114170000e+004, +1.20478703389e+003, -8.87501683762e+001
+5.30803580000e+004, +1.20319532915e+003, -8.87464056601e+001
+5.31493890000e+004, +1.20165972320e+003, -8.87425859773e+001
+5.32185090000e+004, +1.20002273805e+003, -8.87376339464e+001
+5.32877200000e+004, +1.19860378310e+003, -8.87308467263e+001
+5.33570200000e+004, +1.19730075346e+003, -8.87346042093e+001
+5.34264110000e+004, +1.19568781425e+003, -8.87480343411e+001
+5.34958910000e+004, +1.19402086902e+003, -8.87532186453e+001
+5.35654630000e+004, +1.19229225238e+003, -8.87548774843e+001
+5.36351240000e+004, +1.19063560002e+003, -8.87530500240e+001
+5.37048770000e+004, +1.18895946756e+003, -8.87503335358e+001
+5.37747200000e+004, +1.18733991957e+003, -8.87464196950e+001
+5.38446530000e+004, +1.18568628288e+003, -8.87432883149e+001
+5.39146780000e+004, +1.18404567301e+003, -8.87415336159e+001
+5.39847940000e+004, +1.18236391996e+003, -8.87327557190e+001
+5.40550010000e+004, +1.18079075784e+003, -8.87196410276e+001
+5.41252990000e+004, +1.17935228496e+003, -8.87041151846e+001
+5.41956890000e+004, +1.17816166274e+003, -8.86979532702e+001
+5.42661700000e+004, +1.17699770241e+003, -8.87011264235e+001
+5.43367430000e+004, +1.17561896980e+003, -8.87208578727e+001
+5.44074080000e+004, +1.17388694355e+003, -8.87314923851e+001
+5.44781640000e+004, +1.17223532219e+003, -8.87308232925e+001
+5.45490130000e+004, +1.17071936042e+003, -8.87302489228e+001
+5.46199540000e+004, +1.16918160194e+003, -8.87386959392e+001
+5.46909870000e+004, +1.16746126411e+003, -8.87448465278e+001
+5.47621120000e+004, +1.16576206784e+003, -8.87415495014e+001
+5.48333300000e+004, +1.16409985003e+003, -8.87408891318e+001
+5.49046410000e+004, +1.16246427902e+003, -8.87377561103e+001
+5.49760440000e+004, +1.16080515369e+003, -8.87352824400e+001
+5.50475400000e+004, +1.15913740112e+003, -8.87271436968e+001
+5.51191290000e+004, +1.15747108560e+003, -8.87156221396e+001
+5.51908110000e+004, +1.15599336118e+003, -8.86965913111e+001
+5.52625870000e+004, +1.15485064618e+003, -8.86805480708e+001
+5.53344560000e+004, +1.15377770370e+003, -8.86808334226e+001
+5.54064180000e+004, +1.15257468677e+003, -8.86988036896e+001
+5.54784740000e+004, +1.15093415832e+003, -8.87215242238e+001
+5.55506230000e+004, +1.14913131130e+003, -8.87253790174e+001
+5.56228660000e+004, +1.14740601341e+003, -8.87241431349e+001
+5.56952040000e+004, +1.14569525897e+003, -8.87178967029e+001
+5.57676350000e+004, +1.14410881501e+003, -8.87040913295e+001
+5.58401610000e+004, +1.14276314075e+003, -8.86928600222e+001
+5.59127810000e+004, +1.14142143384e+003, -8.87000146188e+001
+5.59854950000e+004, +1.13963524959e+003, -8.87028650957e+001
+5.60583040000e+004, +1.13791415946e+003, -8.86836832047e+001
+5.61312070000e+004, +1.13643609826e+003, -8.86525935264e+001
+5.62042060000e+004, +1.13568420264e+003, -8.86225086908e+001
+5.62772990000e+004, +1.13533869222e+003, -8.86399903713e+001
+5.63504880000e+004, +1.13400308268e+003, -8.86899595285e+001
+5.64237710000e+004, +1.13218890711e+003, -8.87110597392e+001
+5.64971500000e+004, +1.13044746819e+003, -8.87152676136e+001
+5.65706240000e+004, +1.12889279426e+003, -8.87179015701e+001
+5.66441940000e+004, +1.12730792104e+003, -8.87231165436e+001
+5.67178600000e+004, +1.12573689201e+003, -8.87253646529e+001
+5.67916210000e+004, +1.12417895343e+003, -8.87275549570e+001
+5.68654780000e+004, +1.12263595984e+003, -8.87287274247e+001
+5.69394320000e+004, +1.12109202967e+003, -8.87319932930e+001
+5.70134810000e+004, +1.11949288099e+003, -8.87321703789e+001
+5.70876270000e+004, +1.11799480605e+003, -8.87309817047e+001
+5.71618690000e+004, +1.11650499772e+003, -8.87335705448e+001
+5.72362080000e+004, +1.11492691759e+003, -8.87374157063e+001
+5.73106430000e+004, +1.11333560898e+003, -8.87370207673e+001
+5.73851760000e+004, +1.11177393215e+003, -8.87360790470e+001
+5.74598050000e+004, +1.11022688252e+003, -8.87333763334e+001
+5.75345310000e+004, +1.10872563153e+003, -8.87300007526e+001
+5.76093550000e+004, +1.10720868610e+003, -8.87295131668e+001
+5.76842750000e+004, +1.10572476423e+003, -8.87277443964e+001
+5.77592930000e+004, +1.10424333230e+003, -8.87246435216e+001
+5.78344090000e+004, +1.10276081290e+003, -8.87238657124e+001
+5.79096230000e+004, +1.10128061582e+003, -8.87231783099e+001
+5.79849340000e+004, +1.09973789120e+003, -8.87239814654e+001
+5.80603430000e+004, +1.09821529700e+003, -8.87201145637e+001
+5.81358500000e+004, +1.09671989803e+003, -8.87147145972e+001
+5.82114560000e+004, +1.09529593162e+003, -8.87095414665e+001
+5.82871590000e+004, +1.09387544196e+003, -8.87093392001e+001
+5.83629620000e+004, +1.09237401814e+003, -8.87111385889e+001
+5.84388620000e+004, +1.09079098822e+003, -8.87061405324e+001
+5.85148620000e+004, +1.08929708080e+003, -8.86954682860e+001
+5.85909600000e+004, +1.08796726059e+003, -8.86803465759e+001
+5.86671580000e+004, +1.08683553801e+003, -8.86721980776e+001
+5.87434540000e+004, +1.08570967646e+003, -8.86748110458e+001
+5.88198500000e+004, +1.08449789472e+003, -8.86847203786e+001
+5.88963450000e+004, +1.08310809647e+003, -8.87046131290e+001
+5.89729390000e+004, +1.08146645648e+003, -8.87150384949e+001
+5.90496330000e+004, +1.07988686169e+003, -8.87158135304e+001
+5.91264270000e+004, +1.07835665078e+003, -8.87136538746e+001
+5.92033210000e+004, +1.07686847206e+003, -8.87128603782e+001
+5.92803140000e+004, +1.07541283968e+003, -8.87128088337e+001
+5.93574080000e+004, +1.07390177182e+003, -8.87133768756e+001
+5.94346020000e+004, +1.07242011844e+003, -8.87106488151e+001
+5.95118970000e+004, +1.07095346959e+003, -8.87073070345e+001
+5.95892920000e+004, +1.06955845282e+003, -8.87022533515e+001
+5.96667870000e+004, +1.06824813130e+003, -8.87015455248e+001
+5.97443840000e+004, +1.06687711118e+003, -8.87075740684e+001
+5.98220810000e+004, +1.06537426030e+003, -8.87133925525e+001
+5.98998790000e+004, +1.06383521903e+003, -8.87133565868e+001
+5.99777790000e+004, +1.06232648920e+003, -8.87138484663e+001
+6.00557800000e+004, +1.06084818183e+003, -8.87074498396e+001
+6.01338820000e+004, +1.05940910273e+003, -8.87039877235e+001
+6.02120860000e+004, +1.05802176949e+003, -8.86977542387e+001
+6.02903910000e+004, +1.05672850532e+003, -8.86957925526e+001
+6.03687990000e+004, +1.05539904219e+003, -8.87010916185e+001
+6.04473080000e+004, +1.05391884480e+003, -8.87081983384e+001
+6.05259200000e+004, +1.05243681082e+003, -8.87058523462e+001
+6.06046330000e+004, +1.05098864136e+003, -8.87037530421e+001
+6.06834490000e+004, +1.04954166947e+003, -8.87058464788e+001
+6.07623680000e+004, +1.04798862352e+003, -8.87063072005e+001
+6.08413890000e+004, +1.04641873005e+003, -8.87020543882e+001
+6.09205130000e+004, +1.04491262583e+003, -8.86916140962e+001
+6.09997400000e+004, +1.04340994023e+003, -8.86736973027e+001
+6.10790700000e+004, +1.04215665364e+003, -8.86532455199e+001
+6.11585030000e+004, +1.04123711126e+003, -8.86369201435e+001
+6.12380390000e+004, +1.04040539131e+003, -8.86525218492e+001
+6.13176790000e+004, +1.03899605132e+003, -8.86787095582e+001
+6.13974230000e+004, +1.03745199303e+003, -8.86838168423e+001
+6.14772700000e+004, +1.03597551217e+003, -8.86839001475e+001
+6.15572210000e+004, +1.03460464071e+003, -8.86834875350e+001
+6.16372760000e+004, +1.03322229599e+003, -8.86875029781e+001
+6.17174350000e+004, +1.03183607608e+003, -8.86917236615e+001
+6.17976980000e+004, +1.03042105449e+003, -8.86945525767e+001
+6.18780660000e+004, +1.02893020565e+003, -8.86962935399e+001
+6.19585380000e+004, +1.02750614854e+003, -8.86952578530e+001
+6.20391150000e+004, +1.02606816562e+003, -8.86940389515e+001
+6.21197960000e+004, +1.02462626411e+003, -8.86923662892e+001
+6.22005830000e+004, +1.02322896694e+003, -8.86894695908e+001
+6.22814740000e+004, +1.02186395236e+003, -8.86864186618e+001
+6.23624710000e+004, +1.02048444459e+003, -8.86866673326e+001
+6.24435730000e+004, +1.01910536167e+003, -8.86836059284e+001
+6.25247810000e+004, +1.01774535630e+003, -8.86828677803e+001
+6.26060940000e+004, +1.01643036980e+003, -8.86815928321e+001
+6.26875130000e+004, +1.01511192103e+003, -8.86804732910e+001
+6.27690380000e+004, +1.01375794810e+003, -8.86850440126e+001
+6.28506690000e+004, +1.01235280818e+003, -8.86871785365e+001
+6.29324060000e+004, +1.01093479186e+003, -8.86888794037e+001
+6.30142490000e+004, +1.00951908745e+003, -8.86892937467e+001
+6.30961990000e+004, +1.00808625196e+003, -8.86887232397e+001
+6.31782550000e+004, +1.00665680427e+003, -8.86858484784e+001
+6.32604180000e+004, +1.00523954744e+003, -8.86805240527e+001
+6.33426880000e+004, +1.00392106509e+003, -8.86742527936e+001
+6.34250650000e+004, +1.00263768446e+003, -8.86723286537e+001
+6.35075490000e+004, +1.00131857614e+003, -8.86703081703e+001
+6.35901400000e+004, +1.00002171946e+003, -8.86713286422e+001
+6.36728390000e+004, +9.98736184797e+002, -8.86755441968e+001
+6.37556450000e+004, +9.97320795236e+002, -8.86794813860e+001
+6.38385590000e+004, +9.95922738407e+002, -8.86809951044e+001
+6.39215810000e+004, +9.94514095893e+002, -8.86815407180e+001
+6.40047110000e+004, +9.93106607508e+002, -8.86801243159e+001
+6.40879490000e+004, +9.91707119191e+002, -8.86780815790e+001
+6.41712950000e+004, +9.90328410509e+002, -8.86763305611e+001
+6.42547490000e+004, +9.88959859875e+002, -8.86741504305e+001
+6.43383120000e+004, +9.87580709919e+002, -8.86731862772e+001
+6.44219840000e+004, +9.86202393654e+002, -8.86711207445e+001
+6.45057650000e+004, +9.84797286898e+002, -8.86664061496e+001
+6.45896540000e+004, +9.83408196745e+002, -8.86633163878e+001
+6.46736530000e+004, +9.82068961646e+002, -8.86578264127e+001
+6.47577610000e+004, +9.80772454902e+002, -8.86531781690e+001
+6.48419780000e+004, +9.79521594881e+002, -8.86518741004e+001
+6.49263040000e+004, +9.78081695287e+002, -8.86524201804e+001
+6.50107410000e+004, +9.76542327561e+002, -8.86463365129e+001
+6.50952870000e+004, +9.75169753158e+002, -8.86422685118e+001
+6.51799430000e+004, +9.73739277176e+002, -8.86354560892e+001
+6.52647090000e+004, +9.72388720611e+002, -8.86259402525e+001
+6.53495860000e+004, +9.71224349998e+002, -8.86152239320e+001
+6.54345730000e+004, +9.70163418844e+002, -8.86171962394e+001
+6.55196700000e+004, +9.68890245635e+002, -8.86305199245e+001
+6.56048780000e+004, +9.67432183223e+002, -8.86389952783e+001
+6.56901970000e+004, +9.65976491655e+002, -8.86400198859e+001
+6.57756270000e+004, +9.64551026954e+002, -8.86400721895e+001
+6.58611680000e+004, +9.63135876708e+002, -8.86378515958e+001
+6.59468200000e+004, +9.61676606997e+002, -8.86362134871e+001
+6.60325840000e+004, +9.60257515884e+002, -8.86328190663e+001
+6.61184590000e+004, +9.58826735690e+002, -8.86253000930e+001
+6.62044460000e+004, +9.57440969305e+002, -8.86190371607e+001
+6.62905440000e+004, +9.56011211398e+002, -8.86116001710e+001
+6.63767550000e+004, +9.54636580246e+002, -8.86005790697e+001
+6.64630770000e+004, +9.53522258741e+002, -8.85678202072e+001
+6.65495120000e+004, +9.52157610015e+002, -8.85740518552e+001
+6.66360600000e+004, +9.50707374901e+002, -8.85633869878e+001
+6.67227200000e+004, +9.49367488569e+002, -8.85468995548e+001
+6.68094920000e+004, +9.48177111629e+002, -8.85267927251e+001
+6.68963780000e+004, +9.47251075572e+002, -8.85131732040e+001
+6.69833760000e+004, +9.46243065815e+002, -8.85245608134e+001
+6.70704880000e+004, +9.44832210250e+002, -8.85315001253e+001
+6.71577130000e+004, +9.43593120647e+002, -8.85215985908e+001
+6.72450510000e+004, +9.42600570733e+002, -8.85219585386e+001
+6.73325030000e+004, +9.41322333817e+002, -8.85410409306e+001
+6.74200690000e+004, +9.39886057295e+002, -8.85470014578e+001
+6.75077480000e+004, +9.38484120267e+002, -8.85527358924e+001
+6.75955420000e+004, +9.36972196918e+002, -8.85547856132e+001
+6.76834490000e+004, +9.35500131689e+002, -8.85493280756e+001
+6.77714710000e+004, +9.34104262639e+002, -8.85438287934e+001
+6.78596080000e+004, +9.32647045049e+002, -8.85395125692e+001
+6.79478590000e+004, +9.31110421641e+002, -8.85265927306e+001
+6.80362250000e+004, +9.29655009485e+002, -8.85153474139e+001
+6.81247060000e+004, +9.28214890913e+002, -8.85058347484e+001
+6.82133020000e+004, +9.26733628102e+002, -8.84936922393e+001
+6.83020130000e+004, +9.25285129518e+002, -8.84772885967e+001
+6.83908390000e+004, +9.23836439165e+002, -8.84618852938e+001
+6.84797810000e+004, +9.22412793809e+002, -8.84450009513e+001
+6.85688390000e+004, +9.20864310517e+002, -8.84214779129e+001
+6.86580120000e+004, +9.19369714730e+002, -8.83875801656e+001
+6.87473020000e+004, +9.17990666969e+002, -8.83494582810e+001
+6.88367080000e+004, +9.16689609058e+002, -8.83084479323e+001
+6.89262290000e+004, +9.15446045876e+002, -8.82657904768e+001
+6.90158680000e+004, +9.14326803370e+002, -8.82266137289e+001
+6.91056230000e+004, +9.13064526003e+002, -8.81878165782e+001
+6.91954940000e+004, +9.11885876058e+002, -8.81193499934e+001
+6.92854830000e+004, +9.11153645778e+002, -8.80306456220e+001
+6.93755880000e+004, +9.10906852702e+002, -8.79458641026e+001
+6.94658110000e+004, +9.11087870481e+002, -8.78826634852e+001
+6.95561510000e+004, +9.11345848885e+002, -8.78555019564e+001
+6.96466080000e+004, +9.11272707114e+002, -8.78555395414e+001
+6.97371830000e+004, +9.10977110757e+002, -8.78601913716e+001
+6.98278760000e+004, +9.10594785035e+002, -8.78677347602e+001
+6.99186870000e+004, +9.10133098321e+002, -8.78787092422e+001
+7.00096160000e+004, +9.09674242763e+002, -8.78901654068e+001
+7.01006630000e+004, +9.09257292291e+002, -8.79096361722e+001
+7.01918290000e+004, +9.08687863259e+002, -8.79448543138e+001
+7.02831130000e+004, +9.07844808286e+002, -8.79805400586e+001
+7.03745160000e+004, +9.06932657504e+002, -8.80074740783e+001
+7.04660380000e+004, +9.05951259283e+002, -8.80324617974e+001
+7.05576790000e+004, +9.04989937505e+002, -8.80580150536e+001
+7.06494390000e+004, +9.03967053681e+002, -8.80848784300e+001
+7.07413180000e+004, +9.02819743437e+002, -8.81119154148e+001
+7.08333170000e+004, +9.01617093515e+002, -8.81328446912e+001
+7.09254350000e+004, +9.00433734707e+002, -8.81471549602e+001
+7.10176730000e+004, +8.99372833602e+002, -8.81612812485e+001
+7.11100310000e+004, +8.98348363982e+002, -8.81810401748e+001
+7.12025100000e+004, +8.97252643613e+002, -8.82071301613e+001
+7.12951080000e+004, +8.96044820642e+002, -8.82312842097e+001
+7.13878270000e+004, +8.94751118286e+002, -8.82534529548e+001
+7.14806670000e+004, +8.93402510777e+002, -8.82711010897e+001
+7.15736270000e+004, +8.92089559453e+002, -8.82820302132e+001
+7.16667080000e+004, +8.90769155814e+002, -8.82923427846e+001
+7.17599110000e+004, +8.89560208550e+002, -8.82988812019e+001
+7.18532340000e+004, +8.88340402340e+002, -8.83124984797e+001
+7.19466790000e+004, +8.86924393266e+002, -8.83209977337e+001
+7.20402450000e+004, +8.85627429170e+002, -8.83086752692e+001
+7.21339330000e+004, +8.84729101074e+002, -8.83018437395e+001
+7.22277430000e+004, +8.83890370429e+002, -8.83291298356e+001
+7.23216750000e+004, +8.82568249495e+002, -8.83565982942e+001
+7.24157290000e+004, +8.81192969912e+002, -8.83634206200e+001
+7.25099060000e+004, +8.80049186872e+002, -8.83658928511e+001
+7.26042040000e+004, +8.78955261443e+002, -8.83807346727e+001
+7.26986260000e+004, +8.77691577038e+002, -8.83961230457e+001
+7.27931700000e+004, +8.76370437182e+002, -8.84081646935e+001
+7.28878370000e+004, +8.75104521675e+002, -8.84165089301e+001
+7.29826280000e+004, +8.73884135565e+002, -8.84251250643e+001
+7.30775410000e+004, +8.72648503306e+002, -8.84377313020e+001
+7.31725780000e+004, +8.71345258103e+002, -8.84499934566e+001
+7.32677390000e+004, +8.70046366741e+002, -8.84587842991e+001
+7.33630230000e+004, +8.68723488731e+002, -8.84649480618e+001
+7.34584320000e+004, +8.67418915993e+002, -8.84680322184e+001
+7.35539640000e+004, +8.66164567397e+002, -8.84722504676e+001
+7.36496210000e+004, +8.64897350723e+002, -8.84774368561e+001
+7.37454020000e+004, +8.63640884968e+002, -8.84801317800e+001
+7.38413070000e+004, +8.62400931062e+002, -8.84860481147e+001
+7.39373380000e+004, +8.61090184046e+002, -8.84929185483e+001
+7.40334930000e+004, +8.59671254288e+002, -8.84905274534e+001
+7.41297730000e+004, +8.58397505814e+002, -8.84788445060e+001
+7.42261790000e+004, +8.57343176512e+002, -8.84689431661e+001
+7.43227090000e+004, +8.56441001024e+002, -8.84715445472e+001
+7.44193660000e+004, +8.55361888047e+002, -8.84903074104e+001
+7.45161480000e+004, +8.54017184834e+002, -8.85075966822e+001
+7.46130560000e+004, +8.52606134275e+002, -8.85132000713e+001
+7.47100900000e+004, +8.51232225011e+002, -8.85098304981e+001
+7.48072500000e+004, +8.49907511617e+002, -8.85002114774e+001
+7.49045360000e+004, +8.48775970493e+002, -8.84832524751e+001
+7.50019490000e+004, +8.47888498117e+002, -8.84759464005e+001
+7.50994890000e+004, +8.46998303539e+002, -8.84933229619e+001
+7.51971560000e+004, +8.45645710561e+002, -8.85132589334e+001
+7.52949490000e+004, +8.44313425472e+002, -8.85136345662e+001
+7.53928700000e+004, +8.43085780656e+002, -8.85066449544e+001
+7.54909180000e+004, +8.41991841800e+002, -8.85016617486e+001
+7.55890940000e+004, +8.41004802789e+002, -8.85069156135e+001
+7.56873970000e+004, +8.39852013629e+002, -8.85224880808e+001
+7.57858280000e+004, +8.38584927282e+002, -8.85318933701e+001
+7.58843870000e+004, +8.37355578079e+002, -8.85358914230e+001
+7.59830750000e+004, +8.36117375506e+002, -8.85389028247e+001
+7.60818900000e+004, +8.34941508359e+002, -8.85413934062e+001
+7.61808350000e+004, +8.33730003433e+002, -8.85454039113e+001
+7.62799080000e+004, +8.32521773970e+002, -8.85520477665e+001
+7.63791090000e+004, +8.31254708069e+002, -8.85550588465e+001
+7.64784400000e+004, +8.30025772777e+002, -8.85579258917e+001
+7.65779000000e+004, +8.28785332157e+002, -8.85593369899e+001
+7.66774890000e+004, +8.27534501336e+002, -8.85602106647e+001
+7.67772080000e+004, +8.26294535111e+002, -8.85598246220e+001
+7.68770560000e+004, +8.25075600515e+002, -8.85578533411e+001
+7.69770350000e+004, +8.23886420718e+002, -8.85581401006e+001
+7.70771430000e+004, +8.22658057743e+002, -8.85578210639e+001
+7.71773810000e+004, +8.21431549815e+002, -8.85560764036e+001
+7.72777500000e+004, +8.20210604981e+002, -8.85501768046e+001
+7.73782500000e+004, +8.19026086193e+002, -8.85434427918e+001
+7.74788800000e+004, +8.17957334584e+002, -8.85354166734e+001
+7.75796410000e+004, +8.16885310957e+002, -8.85372341162e+001
+7.76805330000e+004, +8.15793584816e+002, -8.85397333553e+001
+7.77815560000e+004, +8.14681306042e+002, -8.85441006802e+001
+7.78827110000e+004, +8.13541445664e+002, -8.85475488651e+001
+7.79839970000e+004, +8.12333124206e+002, -8.85520487881e+001
+7.80854150000e+004, +8.11146777751e+002, -8.85540985778e+001
+7.81869640000e+004, +8.09961163236e+002, -8.85556121180e+001
+7.82886460000e+004, +8.08781664409e+002, -8.85558182449e+001
+7.83904600000e+004, +8.07605163928e+002, -8.85557834342e+001
+7.84924070000e+004, +8.06446213162e+002, -8.85561977456e+001
+7.85944860000e+004, +8.05269863520e+002, -8.85566425811e+001
+7.86966980000e+004, +8.04094535503e+002, -8.85571192279e+001
+7.87990420000e+004, +8.02900340921e+002, -8.85592683214e+001
+7.89015200000e+004, +8.01692282492e+002, -8.85562150926e+001
+7.90041310000e+004, +8.00512689181e+002, -8.85545599618e+001
+7.91068760000e+004, +7.99348322733e+002, -8.85512532891e+001
+7.92097540000e+004, +7.98201113844e+002, -8.85488999245e+001
+7.93127660000e+004, +7.97065479689e+002, -8.85446715382e+001
+7.94159120000e+004, +7.95936249832e+002, -8.85435604992e+001
+7.95191920000e+004, +7.94809423303e+002, -8.85441081816e+001
+7.96226060000e+004, +7.93668418949e+002, -8.85434071792e+001
+7.97261550000e+004, +7.92510062478e+002, -8.85448789595e+001
+7.98298390000e+004, +7.91352270125e+002, -8.85439932028e+001
+7.99336570000e+004, +7.90195563490e+002, -8.85414843550e+001
+8.00376100000e+004, +7.89061079339e+002, -8.85411715313e+001
+8.01416990000e+004, +7.87916312821e+002, -8.85418046232e+001
+8.02459230000e+004, +7.86715971905e+002, -8.85417377134e+001
+8.03502820000e+004, +7.85547281161e+002, -8.85423243266e+001
+8.04547780000e+004, +7.84347204211e+002, -8.85399334968e+001
+8.05594090000e+004, +7.83167171702e+002, -8.85376259132e+001
+8.06641760000e+004, +7.81983948428e+002, -8.85329251426e+001
+8.07690790000e+004, +7.80781391096e+002, -8.85291494546e+001
+8.08741190000e+004, +7.79622745812e+002, -8.85248767198e+001
+8.09792960000e+004, +7.78441030411e+002, -8.85195957784e+001
+8.10846090000e+004, +7.77274766511e+002, -8.85152609015e+001
+8.11900590000e+004, +7.76056265111e+002, -8.85087629435e+001
+8.12956460000e+004, +7.74850115964e+002, -8.84994865278e+001
+8.14013710000e+004, +7.73650490937e+002, -8.84841542420e+001
+8.15072330000e+004, +7.72539121153e+002, -8.84604568809e+001
+8.16132330000e+004, +7.71651407838e+002, -8.84397403639e+001
+8.17193710000e+004, +7.70962143991e+002, -8.84355885605e+001
+8.18256460000e+004, +7.70134335082e+002, -8.84543778470e+001
+8.19320600000e+004, +7.68917683635e+002, -8.84683460574e+001
+8.20386130000e+004, +7.67675673047e+002, -8.84684763153e+001
+8.21453040000e+004, +7.66537308896e+002, -8.84637210002e+001
+8.22521330000e+004, +7.65402363335e+002, -8.84618114338e+001
+8.23591020000e+004, +7.64308649741e+002, -8.84583911650e+001
+8.24662090000e+004, +7.63229286112e+002, -8.84614038252e+001
+8.25734560000e+004, +7.62012554658e+002, -8.84666931951e+001
+8.26808430000e+004, +7.60776645328e+002, -8.84612999386e+001
+8.27883690000e+004, +7.59607985149e+002, -8.84510459384e+001
+8.28960350000e+004, +7.58538555735e+002, -8.84392752277e+001
+8.30038410000e+004, +7.57562384297e+002, -8.84326234468e+001
+8.31117870000e+004, +7.56590444101e+002, -8.84423786791e+001
+8.32198730000e+004, +7.55388630572e+002, -8.84544839812e+001
+8.33281010000e+004, +7.54122793336e+002, -8.84558718898e+001
+8.34364680000e+004, +7.52900872360e+002, -8.84504435217e+001
+8.35449770000e+004, +7.51702360242e+002, -8.84436849608e+001
+8.36536270000e+004, +7.50544308669e+002, -8.84401578568e+001
+8.37624180000e+004, +7.49372743736e+002, -8.84354843557e+001
+8.38713510000e+004, +7.48187162563e+002, -8.84340870353e+001
+8.39804250000e+004, +7.46943639201e+002, -8.84329325720e+001
+8.40896420000e+004, +7.45652544622e+002, -8.84265744205e+001
+8.41990000000e+004, +7.44396581844e+002, -8.84168273338e+001
+8.43085000000e+004, +7.43132242483e+002, -8.84077387068e+001
+8.44181430000e+004, +7.41899957256e+002, -8.83968422341e+001
+8.45279290000e+004, +7.40593667152e+002, -8.83863430364e+001
+8.46378570000e+004, +7.39303799456e+002, -8.83715462471e+001
+8.47479280000e+004, +7.38009228141e+002, -8.83537937193e+001
+8.48581420000e+004, +7.36707686541e+002, -8.83313498999e+001
+8.49685000000e+004, +7.35372836168e+002, -8.83114582563e+001
+8.50790010000e+004, +7.34059215741e+002, -8.82872576909e+001
+8.51896460000e+004, +7.32756835010e+002, -8.82647985348e+001
+8.53004350000e+004, +7.31443994691e+002, -8.82445135952e+001
+8.54113680000e+004, +7.29982687550e+002, -8.82201179593e+001
+8.55224450000e+004, +7.28438749829e+002, -8.81851168923e+001
+8.56336660000e+004, +7.26842212914e+002, -8.81349086011e+001
+8.57450330000e+004, +7.25254959516e+002, -8.80652223731e+001
+8.58565440000e+004, +7.23673445793e+002, -8.79410594085e+001
+8.59682000000e+004, +7.22345764955e+002, -8.78106262110e+001
