!Keysight Technologies,E4990A,MY54302532,A.03.02
!Date: Wed May 07 10:40:02 2025

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+5.29425650000e+004, +2.63127572689e+001, -1.20592111481e+003
+5.30114170000e+004, +2.63447408550e+001, -1.20431696435e+003
+5.30803580000e+004, +2.63900159978e+001, -1.20272519564e+003
+5.31493890000e+004, +2.64291601322e+001, -1.20113786852e+003
+5.32185090000e+004, +2.64875457136e+001, -1.19957581539e+003
+5.32877200000e+004, +2.65965969465e+001, -1.19810625615e+003
+5.33570200000e+004, +2.65185687995e+001, -1.19683997626e+003
+5.34264110000e+004, +2.61685955201e+001, -1.19534090111e+003
+5.34958910000e+004, +2.60559863911e+001, -1.19358042802e+003
+5.35654630000e+004, +2.59997874130e+001, -1.19195077576e+003
+5.36351240000e+004, +2.59711912365e+001, -1.19023273785e+003
+5.37048770000e+004, +2.59828228017e+001, -1.18856612922e+003
+5.37747200000e+004, +2.60164449686e+001, -1.18691402153e+003
+5.38446530000e+004, +2.60677341129e+001, -1.18529827861e+003
+5.39146780000e+004, +2.60961921674e+001, -1.18369512387e+003
+5.39847940000e+004, +2.62033826864e+001, -1.18197464804e+003
+5.40550010000e+004, +2.64345377489e+001, -1.18041810376e+003
+5.41252990000e+004, +2.66717348377e+001, -1.17900805690e+003
+5.41956890000e+004, +2.68136900128e+001, -1.17777306457e+003
+5.42661700000e+004, +2.67231464749e+001, -1.17662205964e+003
+5.43367430000e+004, +2.63132608482e+001, -1.17524935851e+003
+5.44074080000e+004, +2.60088134041e+001, -1.17351587302e+003
+5.44781640000e+004, +2.60193662832e+001, -1.17185129213e+003
+5.45490130000e+004, +2.59584130234e+001, -1.17040553369e+003
+5.46199540000e+004, +2.57899305024e+001, -1.16883668624e+003
+5.46909870000e+004, +2.56604942277e+001, -1.16713467434e+003
+5.47621120000e+004, +2.56240191240e+001, -1.16543281183e+003
+5.48333300000e+004, +2.56415951218e+001, -1.16379953025e+003
+5.49046410000e+004, +2.56645527084e+001, -1.16216489406e+003
+5.49760440000e+004, +2.56692337554e+001, -1.16046514434e+003
+5.50475400000e+004, +2.58037606456e+001, -1.15880946791e+003
+5.51191290000e+004, +2.60120952363e+001, -1.15713527386e+003
+5.51908110000e+004, +2.63853356171e+001, -1.15563974906e+003
+5.52625870000e+004, +2.67031752727e+001, -1.15447617031e+003
+5.53344560000e+004, +2.65826322285e+001, -1.15342925704e+003
+5.54064180000e+004, +2.62134262574e+001, -1.15224277113e+003
+5.54784740000e+004, +2.57419270775e+001, -1.15060229266e+003
+5.55506230000e+004, +2.56196209816e+001, -1.14877686742e+003
+5.56228660000e+004, +2.56267310591e+001, -1.14708251429e+003
+5.56952040000e+004, +2.56968078395e+001, -1.14534595704e+003
+5.57676350000e+004, +2.59608642842e+001, -1.14377754524e+003
+5.58401610000e+004, +2.61461936986e+001, -1.14242616164e+003
+5.59127810000e+004, +2.59872798021e+001, -1.14108987377e+003
+5.59854950000e+004, +2.58620736067e+001, -1.13928875498e+003
+5.60583040000e+004, +2.62091139972e+001, -1.13753276840e+003
+5.61312070000e+004, +2.68314007435e+001, -1.13609363583e+003
+5.62042060000e+004, +2.73625902295e+001, -1.13531601862e+003
+5.62772990000e+004, +2.70131009491e+001, -1.13497320643e+003
+5.63504880000e+004, +2.59739384822e+001, -1.13367948853e+003
+5.64237710000e+004, +2.55347043675e+001, -1.13185404011e+003
+5.64971500000e+004, +2.53880324197e+001, -1.13013822837e+003
+5.65706240000e+004, +2.53096019213e+001, -1.12853638231e+003
+5.66441940000e+004, +2.51733594077e+001, -1.12698555727e+003
+5.67178600000e+004, +2.51040313607e+001, -1.12538909419e+003
+5.67916210000e+004, +2.50336159437e+001, -1.12384865577e+003
+5.68654780000e+004, +2.49520580555e+001, -1.12229875092e+003
+5.69394320000e+004, +2.48602272627e+001, -1.12076025672e+003
+5.70134810000e+004, +2.48206250317e+001, -1.11919940689e+003
+5.70876270000e+004, +2.48358521638e+001, -1.11768175064e+003
+5.71618690000e+004, +2.47080691852e+001, -1.11616644834e+003
+5.72362080000e+004, +2.46024342611e+001, -1.11460287018e+003
+5.73106430000e+004, +2.45904655917e+001, -1.11302534687e+003
+5.73851760000e+004, +2.45819024506e+001, -1.11144566762e+003
+5.74598050000e+004, +2.46107848786e+001, -1.10989646964e+003
+5.75345310000e+004, +2.46121168255e+001, -1.10842070931e+003
+5.76093550000e+004, +2.46306569125e+001, -1.10690285565e+003
+5.76842750000e+004, +2.46415201672e+001, -1.10539700240e+003
+5.77592930000e+004, +2.46350380460e+001, -1.10392279212e+003
+5.78344090000e+004, +2.46195451915e+001, -1.10245565811e+003
+5.79096230000e+004, +2.45953743444e+001, -1.10096167878e+003
+5.79849340000e+004, +2.45645525143e+001, -1.09944148972e+003
+5.80603430000e+004, +2.45973184636e+001, -1.09792316132e+003
+5.81358500000e+004, +2.46505297971e+001, -1.09643990013e+003
+5.82114560000e+004, +2.47170841611e+001, -1.09497261857e+003
+5.82871590000e+004, +2.47002389679e+001, -1.09355268248e+003
+5.83629620000e+004, +2.46508407692e+001, -1.09204518546e+003
+5.84388620000e+004, +2.47226207879e+001, -1.09048600319e+003
+5.85148620000e+004, +2.49020028871e+001, -1.08898932738e+003
+5.85909600000e+004, +2.51373326346e+001, -1.08762459942e+003
+5.86671580000e+004, +2.52788436825e+001, -1.08648137239e+003
+5.87434540000e+004, +2.51675828460e+001, -1.08536309795e+003
+5.88198500000e+004, +2.49565339566e+001, -1.08418986604e+003
+5.88963450000e+004, +2.45556553703e+001, -1.08277382582e+003
+5.89729390000e+004, +2.43446688637e+001, -1.08115170172e+003
+5.90496330000e+004, +2.42407165316e+001, -1.07957497461e+003
+5.91264270000e+004, +2.42249618460e+001, -1.07804046233e+003
+5.92033210000e+004, +2.42462618692e+001, -1.07657739597e+003
+5.92803140000e+004, +2.42044878738e+001, -1.07509786566e+003
+5.93574080000e+004, +2.41429572784e+001, -1.07358920658e+003
+5.94346020000e+004, +2.42002571073e+001, -1.07209148353e+003
+5.95118970000e+004, +2.41912482990e+001, -1.07064500749e+003
+5.95892920000e+004, +2.42674741759e+001, -1.06922240369e+003
+5.96667870000e+004, +2.42773275558e+001, -1.06793266110e+003
+5.97443840000e+004, +2.41100245786e+001, -1.06657941233e+003
+5.98220810000e+004, +2.39847312195e+001, -1.06504602049e+003
+5.98998790000e+004, +2.39488455783e+001, -1.06353667416e+003
+5.99777790000e+004, +2.39564413656e+001, -1.06201890621e+003
+6.00557800000e+004, +2.39722977537e+001, -1.06056073587e+003
+6.01338820000e+004, +2.40166425864e+001, -1.05911674942e+003
+6.02120860000e+004, +2.40893279447e+001, -1.05770174274e+003
+6.02903910000e+004, +2.41329133301e+001, -1.05640972886e+003
+6.03687990000e+004, +2.39996201350e+001, -1.05509549500e+003
+6.04473080000e+004, +2.38676573915e+001, -1.05359840122e+003
+6.05259200000e+004, +2.38392368123e+001, -1.05207968802e+003
+6.06046330000e+004, +2.38596822338e+001, -1.05067897250e+003
+6.06834490000e+004, +2.37707221946e+001, -1.04924646178e+003
+6.07623680000e+004, +2.37153078652e+001, -1.04771712715e+003
+6.08413890000e+004, +2.37672470541e+001, -1.04611580355e+003
+6.09205130000e+004, +2.39378272487e+001, -1.04455567418e+003
+6.09997400000e+004, +2.41953798592e+001, -1.04311480531e+003
+6.10790700000e+004, +2.45604792215e+001, -1.04183129175e+003
+6.11585030000e+004, +2.48271215301e+001, -1.04087744523e+003
+6.12380390000e+004, +2.45221459592e+001, -1.04008970004e+003
+6.13176790000e+004, +2.40523504438e+001, -1.03868625275e+003
+6.13974230000e+004, +2.38796489082e+001, -1.03714296137e+003
+6.14772700000e+004, +2.38684323113e+001, -1.03567264405e+003
+6.15572210000e+004, +2.38163699608e+001, -1.03431726151e+003
+6.16372760000e+004, +2.37334007374e+001, -1.03293001296e+003
+6.17174350000e+004, +2.36608632291e+001, -1.03154990094e+003
+6.17976980000e+004, +2.35459266394e+001, -1.03013239461e+003
+6.18780660000e+004, +2.35029095863e+001, -1.02864572955e+003
+6.19585380000e+004, +2.34611323378e+001, -1.02719809308e+003
+6.20391150000e+004, +2.34637615703e+001, -1.02577740028e+003
+6.21197960000e+004, +2.34209705923e+001, -1.02433508465e+003
+6.22005830000e+004, +2.34780024314e+001, -1.02292832103e+003
+6.22814740000e+004, +2.34556934074e+001, -1.02159542550e+003
+6.23624710000e+004, +2.34529599109e+001, -1.02018568431e+003
+6.24435730000e+004, +2.34647187806e+001, -1.01882245329e+003
+6.25247810000e+004, +2.34663963382e+001, -1.01746504305e+003
+6.26060940000e+004, +2.34778261436e+001, -1.01611340322e+003
+6.26875130000e+004, +2.34432859498e+001, -1.01479533004e+003
+6.27690380000e+004, +2.33359925734e+001, -1.01345985056e+003
+6.28506690000e+004, +2.32407630901e+001, -1.01204442037e+003
+6.29324060000e+004, +2.31738885329e+001, -1.01063562505e+003
+6.30142490000e+004, +2.31766150693e+001, -1.00923517912e+003
+6.30961990000e+004, +2.31397525444e+001, -1.00779706782e+003
+6.31782550000e+004, +2.31533032932e+001, -1.00637417572e+003
+6.32604180000e+004, +2.32214625848e+001, -1.00496627665e+003
+6.33426880000e+004, +2.32757066999e+001, -1.00364526803e+003
+6.34250650000e+004, +2.32874910613e+001, -1.00234122422e+003
+6.35075490000e+004, +2.32972755238e+001, -1.00100449966e+003
+6.35901400000e+004, +2.32634888194e+001, -9.99751315637e+002
+6.36728390000e+004, +2.31210656160e+001, -9.98443960382e+002
+6.37556450000e+004, +2.30208367769e+001, -9.97056133828e+002
+6.38385590000e+004, +2.29870291670e+001, -9.95636833717e+002
+6.39215810000e+004, +2.29369113958e+001, -9.94272714720e+002
+6.40047110000e+004, +2.29310764184e+001, -9.92844884712e+002
+6.40879490000e+004, +2.29562859169e+001, -9.91442425752e+002
+6.41712950000e+004, +2.29507733924e+001, -9.90056024438e+002
+6.42547490000e+004, +2.29418466779e+001, -9.88704000388e+002
+6.43383120000e+004, +2.29486804704e+001, -9.87337558122e+002
+6.44219840000e+004, +2.29387398225e+001, -9.85966065257e+002
+6.45057650000e+004, +2.29471622818e+001, -9.84590661372e+002
+6.45896540000e+004, +2.29852317518e+001, -9.83182554617e+002
+6.46736530000e+004, +2.30522020498e+001, -9.81843821843e+002
+6.47577610000e+004, +2.31177786885e+001, -9.80544000985e+002
+6.48419780000e+004, +2.30628661408e+001, -9.79318509910e+002
+6.49263040000e+004, +2.30000972120e+001, -9.77883017925e+002
+6.50107410000e+004, +2.30312749979e+001, -9.76517150794e+002
+6.50952870000e+004, +2.30329807956e+001, -9.75149610452e+002
+6.51799430000e+004, +2.31402241928e+001, -9.73788640513e+002
+6.52647090000e+004, +2.32354972421e+001, -9.72462535750e+002
+6.53495860000e+004, +2.34221227844e+001, -9.71296718446e+002
+6.54345730000e+004, +2.33218196691e+001, -9.70263826336e+002
+6.55196700000e+004, +2.29997256034e+001, -9.69014740109e+002
+6.56048780000e+004, +2.28855186605e+001, -9.67574157458e+002
+6.56901970000e+004, +2.28146058660e+001, -9.66160091584e+002
+6.57756270000e+004, +2.27755903615e+001, -9.64720027846e+002
+6.58611680000e+004, +2.27410644806e+001, -9.63303729188e+002
+6.59468200000e+004, +2.27510559639e+001, -9.61885381018e+002
+6.60325840000e+004, +2.28918430691e+001, -9.60284973547e+002
+6.61184590000e+004, +2.29791469157e+001, -9.58798788015e+002
+6.62044460000e+004, +2.30414693971e+001, -9.57392596623e+002
+6.62905440000e+004, +2.31446521280e+001, -9.55987875614e+002
+6.63767550000e+004, +2.32901385664e+001, -9.54583730990e+002
+6.64630770000e+004, +2.33899557074e+001, -9.53321370850e+002
+6.65495120000e+004, +2.33781705449e+001, -9.51953127280e+002
+6.66360600000e+004, +2.35444042902e+001, -9.50523188386e+002
+6.67227200000e+004, +2.38152203671e+001, -9.49175406154e+002
+6.68094920000e+004, +2.41285525950e+001, -9.47997713674e+002
+6.68963780000e+004, +2.46553718888e+001, -9.47162713468e+002
+6.69833760000e+004, +2.43610489864e+001, -9.46150859076e+002
+6.70704880000e+004, +2.41599406599e+001, -9.44772719902e+002
+6.71577130000e+004, +2.42576479261e+001, -9.43530298328e+002
+6.72450510000e+004, +2.41769644773e+001, -9.42511828153e+002
+6.73325030000e+004, +2.38524569688e+001, -9.41265159207e+002
+6.74200690000e+004, +2.37160357858e+001, -9.39830173549e+002
+6.75077480000e+004, +2.35793559938e+001, -9.38442725613e+002
+6.75955420000e+004, +2.34666378480e+001, -9.36988010864e+002
+6.76834490000e+004, +2.34799572269e+001, -9.35521523055e+002
+6.77714710000e+004, +2.34662527353e+001, -9.34114733103e+002
+6.78596080000e+004, +2.34802282418e+001, -9.32656810724e+002
+6.79478590000e+004, +2.35620143993e+001, -9.31216404349e+002
+6.80362250000e+004, +2.35983131058e+001, -9.29810058472e+002
+6.81247060000e+004, +2.37396775667e+001, -9.28318301739e+002
+6.82133020000e+004, +2.38885026513e+001, -9.26818837620e+002
+6.83020130000e+004, +2.40477057483e+001, -9.25384246840e+002
+6.83908390000e+004, +2.41836564766e+001, -9.24005445726e+002
+6.84797810000e+004, +2.42765883498e+001, -9.22559041406e+002
+6.85688390000e+004, +2.44645963260e+001, -9.21032671913e+002
+6.86580120000e+004, +2.47633412970e+001, -9.19497881957e+002
+6.87473020000e+004, +2.51279131460e+001, -9.18054780799e+002
+6.88367080000e+004, +2.54968773112e+001, -9.16625995110e+002
+6.89262290000e+004, +2.59578078895e+001, -9.15200471950e+002
+6.90158680000e+004, +2.63395592529e+001, -9.13869092992e+002
+6.91056230000e+004, +2.66763012331e+001, -9.12402191233e+002
+6.91954940000e+004, +2.73383800247e+001, -9.10820893442e+002
+6.92854830000e+004, +2.83806164278e+001, -9.09392896004e+002
+6.93755880000e+004, +2.98526273871e+001, -9.08285873800e+002
+6.94658110000e+004, +3.14036767300e+001, -9.07676331910e+002
+6.95561510000e+004, +3.26903064206e+001, -9.07607458944e+002
+6.96466080000e+004, +3.34111522220e+001, -9.07557208935e+002
+6.97371830000e+004, +3.39267616278e+001, -9.07413412602e+002
+6.98278760000e+004, +3.42427673630e+001, -9.07311760615e+002
+6.99186870000e+004, +3.43949061248e+001, -9.07139098259e+002
+7.00096160000e+004, +3.44406916837e+001, -9.06947617942e+002
+7.01006630000e+004, +3.42958134304e+001, -9.06812293520e+002
+7.01918290000e+004, +3.38400447606e+001, -9.06509537139e+002
+7.02831130000e+004, +3.33523142934e+001, -9.05913325315e+002
+7.03745160000e+004, +3.29378012971e+001, -9.05245582478e+002
+7.04660380000e+004, +3.25099830979e+001, -9.04510369479e+002
+7.05576790000e+004, +3.20653026552e+001, -9.03732711717e+002
+7.06494390000e+004, +3.15611426336e+001, -9.02882532427e+002
+7.07413180000e+004, +3.10668808047e+001, -9.01869968100e+002
+7.08333170000e+004, +3.06566973339e+001, -9.00765311683e+002
+7.09254350000e+004, +3.03663409885e+001, -8.99690788106e+002
+7.10176730000e+004, +3.00798457764e+001, -8.98710905845e+002
+7.11100310000e+004, +2.96563617240e+001, -8.97795919437e+002
+7.12025100000e+004, +2.91778818620e+001, -8.96822601473e+002
+7.12951080000e+004, +2.87069541854e+001, -8.95668898239e+002
+7.13878270000e+004, +2.82392285502e+001, -8.94444547604e+002
+7.14806670000e+004, +2.78887379183e+001, -8.93115494503e+002
+7.15736270000e+004, +2.76203793662e+001, -8.91821805211e+002
+7.16667080000e+004, +2.74092097851e+001, -8.90558993167e+002
+7.17599110000e+004, +2.72247485502e+001, -8.89358235284e+002
+7.18532340000e+004, +2.69116822065e+001, -8.88174218328e+002
+7.19466790000e+004, +2.67121888216e+001, -8.86755964694e+002
+7.20402450000e+004, +2.68165438104e+001, -8.85447041857e+002
+7.21339330000e+004, +2.68808099877e+001, -8.84575547968e+002
+7.22277430000e+004, +2.64299780358e+001, -8.83779603255e+002
+7.23216750000e+004, +2.58676500494e+001, -8.82502695727e+002
+7.24157290000e+004, +2.56935162486e+001, -8.81153030329e+002
+7.25099060000e+004, +2.55770476029e+001, -8.79988646538e+002
+7.26042040000e+004, +2.53280490456e+001, -8.78871387718e+002
+7.26986260000e+004, +2.50138375265e+001, -8.77598864256e+002
+7.27931700000e+004, +2.47777738125e+001, -8.76279293223e+002
+7.28878370000e+004, +2.46487494386e+001, -8.75008002036e+002
+7.29826280000e+004, +2.44494842301e+001, -8.73806027645e+002
+7.30775410000e+004, +2.42145828644e+001, -8.72586945040e+002
+7.31725780000e+004, +2.39827283041e+001, -8.71321069552e+002
+7.32677390000e+004, +2.37681867279e+001, -8.69990570790e+002
+7.33630230000e+004, +2.36170981066e+001, -8.68677090286e+002
+7.34584320000e+004, +2.35235957440e+001, -8.67384516943e+002
+7.35539640000e+004, +2.33766880659e+001, -8.66105699311e+002
+7.36496210000e+004, +2.32684035774e+001, -8.64830463873e+002
+7.37454020000e+004, +2.31724251605e+001, -8.63565310565e+002
+7.38413070000e+004, +2.30407142942e+001, -8.62338657205e+002
+7.39373380000e+004, +2.28784628103e+001, -8.60994732293e+002
+7.40334930000e+004, +2.28559668147e+001, -8.59586809387e+002
+7.41297730000e+004, +2.30057450720e+001, -8.58288224019e+002
+7.42261790000e+004, +2.31478994102e+001, -8.57212440119e+002
+7.43227090000e+004, +2.30367707725e+001, -8.56274885486e+002
+7.44193660000e+004, +2.27238571103e+001, -8.55194050341e+002
+7.45161480000e+004, +2.24042013790e+001, -8.53864076077e+002
+7.46130560000e+004, +2.22799369176e+001, -8.52456448890e+002
+7.47100900000e+004, +2.22635631866e+001, -8.51078380850e+002
+7.48072500000e+004, +2.23987304820e+001, -8.49718716355e+002
+7.49045360000e+004, +2.26144457118e+001, -8.48585878327e+002
+7.50019490000e+004, +2.27152423350e+001, -8.47693799998e+002
+7.50994890000e+004, +2.24098618486e+001, -8.46792165933e+002
+7.51971560000e+004, +2.20755959302e+001, -8.45490201224e+002
+7.52949490000e+004, +2.20389830119e+001, -8.44116188455e+002
+7.53928700000e+004, +2.21084696445e+001, -8.42888215996e+002
+7.54909180000e+004, +2.21613745549e+001, -8.41804595263e+002
+7.55890940000e+004, +2.20282627890e+001, -8.40799333096e+002
+7.56873970000e+004, +2.17797980571e+001, -8.39668169689e+002
+7.57858280000e+004, +2.15981013448e+001, -8.38412682789e+002
+7.58843870000e+004, +2.15198401704e+001, -8.37157581903e+002
+7.59830750000e+004, +2.14476474647e+001, -8.35954899482e+002
+7.60818900000e+004, +2.13905824601e+001, -8.34761044357e+002
+7.61808350000e+004, +2.12664581186e+001, -8.33563886993e+002
+7.62799080000e+004, +2.11278246613e+001, -8.32334977993e+002
+7.63791090000e+004, +2.10613186976e+001, -8.31085767579e+002
+7.64784400000e+004, +2.10093759309e+001, -8.29844635807e+002
+7.65779000000e+004, +2.09348561851e+001, -8.28603433296e+002
+7.66774890000e+004, +2.09084070724e+001, -8.27365614704e+002
+7.67772080000e+004, +2.08522117793e+001, -8.26113923310e+002
+7.68770560000e+004, +2.08587100171e+001, -8.24877653904e+002
+7.69770350000e+004, +2.08560645709e+001, -8.23675899272e+002
+7.70771430000e+004, +2.08085457329e+001, -8.22462949918e+002
+7.71773810000e+004, +2.08132399942e+001, -8.21213651113e+002
+7.72777500000e+004, +2.08412330620e+001, -8.20004299497e+002
+7.73782500000e+004, +2.09258456686e+001, -8.18803715145e+002
+7.74788800000e+004, +2.09946385827e+001, -8.17719273758e+002
+7.75796410000e+004, +2.09780217026e+001, -8.16672999678e+002
+7.76805330000e+004, +2.08843644157e+001, -8.15570217003e+002
+7.77815560000e+004, +2.07988578715e+001, -8.14448361988e+002
+7.78827110000e+004, +2.06916376808e+001, -8.13290559935e+002
+7.79839970000e+004, +2.06286674925e+001, -8.12097531169e+002
+7.80854150000e+004, +2.05651227590e+001, -8.10906466696e+002
+7.81869640000e+004, +2.05235127501e+001, -8.09721475428e+002
+7.82886460000e+004, +2.04925241561e+001, -8.08548129255e+002
+7.83904600000e+004, +2.04721228106e+001, -8.07371332791e+002
+7.84924070000e+004, +2.04317159937e+001, -8.06207137444e+002
+7.85944860000e+004, +2.03740911756e+001, -8.05022359877e+002
+7.86966980000e+004, +2.03528112603e+001, -8.03853790950e+002
+7.87990420000e+004, +2.03104159543e+001, -8.02668735547e+002
+7.89015200000e+004, +2.02900324376e+001, -8.01478207787e+002
+7.90041310000e+004, +2.02886373699e+001, -8.00286125926e+002
+7.91068760000e+004, +2.02939604265e+001, -7.99105114757e+002
+7.92097540000e+004, +2.03030313828e+001, -7.97961911917e+002
+7.93127660000e+004, +2.03381432090e+001, -7.96814859334e+002
+7.94159120000e+004, +2.03145171532e+001, -7.95691392344e+002
+7.95191920000e+004, +2.02899009490e+001, -7.94551274906e+002
+7.96226060000e+004, +2.02498406302e+001, -7.93403927424e+002
+7.97261550000e+004, +2.02177744189e+001, -7.92255495266e+002
+7.98298390000e+004, +2.01962154533e+001, -7.91100139076e+002
+7.99336570000e+004, +2.02038415310e+001, -7.89928970886e+002
+8.00376100000e+004, +2.01614729618e+001, -7.88796871932e+002
+8.01416990000e+004, +2.01222128334e+001, -7.87636430861e+002
+8.02459230000e+004, +2.00877664092e+001, -7.86475550717e+002
+8.03502820000e+004, +2.00495910639e+001, -7.85289193883e+002
+8.04547780000e+004, +2.00513901417e+001, -7.84105300731e+002
+8.05594090000e+004, +2.00690291666e+001, -7.82897570783e+002
+8.06641760000e+004, +2.00809520679e+001, -7.81705255199e+002
+8.07690790000e+004, +2.01231440149e+001, -7.80516470298e+002
+8.08741190000e+004, +2.01570615669e+001, -7.79348808736e+002
+8.09792960000e+004, +2.01954095465e+001, -7.78176613457e+002
+8.10846090000e+004, +2.02218719180e+001, -7.77010121340e+002
+8.11900590000e+004, +2.02651696661e+001, -7.75785575965e+002
+8.12956460000e+004, +2.03458716417e+001, -7.74584539656e+002
+8.14013710000e+004, +2.05373280020e+001, -7.73362614964e+002
+8.15072330000e+004, +2.08145786297e+001, -7.72282628061e+002
+8.16132330000e+004, +2.10820625752e+001, -7.71365105043e+002
+8.17193710000e+004, +2.11250008800e+001, -7.70680471765e+002
+8.18256460000e+004, +2.07999503543e+001, -7.69787864733e+002
+8.19320600000e+004, +2.05598834112e+001, -7.68564425978e+002
+8.20386130000e+004, +2.05467738397e+001, -7.67358838496e+002
+8.21453040000e+004, +2.05578319138e+001, -7.66205727081e+002
+8.22521330000e+004, +2.05641828999e+001, -7.65065002489e+002
+8.23591020000e+004, +2.05652783946e+001, -7.63975597840e+002
+8.24662090000e+004, +2.04982153582e+001, -7.62897908123e+002
+8.25734560000e+004, +2.04001576852e+001, -7.61684610394e+002
+8.26808430000e+004, +2.04277247893e+001, -7.60445198961e+002
+8.27883690000e+004, +2.05505275757e+001, -7.59256055005e+002
+8.28960350000e+004, +2.06820509429e+001, -7.58187037204e+002
+8.30038410000e+004, +2.07333670583e+001, -7.57222926372e+002
+8.31117870000e+004, +2.05784069655e+001, -7.56243116777e+002
+8.32198730000e+004, +2.03756937974e+001, -7.55037424881e+002
+8.33281010000e+004, +2.03267052913e+001, -7.53763161736e+002
+8.34364680000e+004, +2.03614267930e+001, -7.52498703223e+002
+8.35449770000e+004, +2.04178880203e+001, -7.51323750021e+002
+8.36536270000e+004, +2.04480743808e+001, -7.50152926993e+002
+8.37624180000e+004, +2.04573886523e+001, -7.48978315012e+002
+8.38713510000e+004, +2.04500241713e+001, -7.47809408498e+002
+8.39804250000e+004, +2.04175688641e+001, -7.46568555157e+002
+8.40896420000e+004, +2.04657090805e+001, -7.45283007671e+002
+8.41990000000e+004, +2.05360428284e+001, -7.44017770024e+002
+8.43085000000e+004, +2.06212663794e+001, -7.42767613162e+002
+8.44181430000e+004, +2.07121874323e+001, -7.41510640393e+002
+8.45279290000e+004, +2.08550152527e+001, -7.40196342418e+002
+8.46378570000e+004, +2.09933116962e+001, -7.38890373367e+002
+8.47479280000e+004, +2.12240378877e+001, -7.37564094206e+002
+8.48581420000e+004, +2.14363467982e+001, -7.36260248544e+002
+8.49685000000e+004, +2.16529737606e+001, -7.34923462886e+002
+8.50790010000e+004, +2.18793014823e+001, -7.33593035309e+002
+8.51896460000e+004, +2.21242770751e+001, -7.32309875342e+002
+8.53004350000e+004, +2.23242210856e+001, -7.30983966145e+002
+8.54113680000e+004, +2.25494646542e+001, -7.29524168463e+002
+8.55224450000e+004, +2.29100793597e+001, -7.27972791276e+002
+8.56336660000e+004, +2.34421806596e+001, -7.26344758701e+002
+8.57450330000e+004, +2.43011666230e+001, -7.24718124723e+002
+8.58565440000e+004, +2.58839588476e+001, -7.23002565412e+002
+8.59682000000e+004, +2.73684081704e+001, -7.21562270312e+002
